2026-06-07 19:44:30 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 13.33ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:44:30 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 14.37ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:44:30 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 18.39ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:44:30 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 12.49ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:44:30 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 28.16ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:44:30 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 27.56ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:44:30 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 8.22ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:44:30 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 76.12ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:44:30 | INFO     | access | ❡ GET /health | Status: 200 | Duration: 0.35ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:44:30 | INFO     | access | ❡ GET /dashboard | Status: 200 | Duration: 18.94ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:44:30 | INFO     | access | ❡ GET /incidents | Status: 200 | Duration: 4.24ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:44:30 | INFO     | access | ❡ GET /audit | Status: 200 | Duration: 5.59ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:48:22 | INFO     | access | ❡ POST /analyze | Status: 500 | Duration: 57.38ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:49:03 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 18.74ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:51:01 | INFO     | access | ❡ POST /analyze | Status: 500 | Duration: 37.66ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:51:20 | INFO     | access | ❡ GET /health | Status: 200 | Duration: 4.59ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:51:20 | INFO     | access | ❡ POST /analyze | Status: 400 | Duration: 2.00ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:51:20 | INFO     | access | ❡ POST /analyze | Status: 400 | Duration: 0.52ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:51:20 | INFO     | access | ❡ POST /analyze | Status: 400 | Duration: 7.00ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:51:20 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 62.76ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:51:20 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 27.09ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:51:20 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 11.53ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:51:20 | INFO     | access | ❡ POST /analyze | Status: 500 | Duration: 11.15ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:51:20 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 18.58ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:51:20 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 19.43ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:51:20 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 31.03ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:51:20 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 22.58ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:51:20 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 34.31ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:51:20 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 30.45ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:51:20 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 16.38ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:51:20 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 17.81ms | IP: 127.0.0.1 | User: anonymous
